handle,shaker-ratio,sex,stance,responses,tweets,deleted,closed,protected,suspended,susp-closed,ratio-sus-close,Ratio-proctected
seanhannity,1.0000,male,conservative,5421,55,369,187,51,118,305,17.77,106.29
TomiLahren,0.9930,female,conservative,3817,39,283,137,35,106,243,15.71,109.06
HillaryClinton,0.9877,female,liberal,4381,45,276,140,15,114,254,17.25,292.07
MichelleObama,0.9848,female,liberal,4174,43,161,86,32,40,126,33.13,130.44
BillOReilly,0.9716,male,conservative,6225,65,239,102,53,74,176,35.37,117.45
BernieSanders,0.9691,male,liberal,3152,33,151,66,16,66,132,23.88,197.00
AnnCoulter,0.9664,female,conservative,1524,16,86,46,17,21,67,22.75,89.65
BarackObama,0.9662,male,liberal,5714,60,233,110,51,62,172,33.22,112.04
iamjohnoliver,0.9632,male,liberal,5696,60,152,84,25,36,120,47.47,227.84
donlemon,0.9539,male,liberal,4231,45,220,103,37,74,177,23.90,114.35
TuckerCarlson,0.9537,male,conservative,6580,70,345,195,49,97,292,22.53,134.29
maddow,0.9436,female,liberal,1674,18,75,37,10,24,61,27.44,167.40
ericbolling,0.9374,male,conservative,4989,54,218,119,31,62,181,27.56,160.94
BetsyDeVos,0.9216,female,conservative,2725,30,91,48,16,20,68,40.07,170.31
IngrahamAngle,0.9113,female,conservative,4042,45,248,129,41,78,207,19.53,98.59
andersoncooper,0.9079,male,neutral,2595,29,149,59,22,63,122,21.27,117.95
Oprah,0.9037,female,liberal,3563,40,154,67,37,44,111,32.10,96.30
AndreaTantaros,0.8967,female,conservative,5833,66,82,36,18,26,62,94.08,324.06
DineshDSouza,0.8642,male,conservative,1959,23,132,73,12,47,120,16.33,163.25
RBReich,0.8602,male,liberal,4663,55,173,133,18,20,153,30.48,259.06
morningmika,0.8533,female,liberal,3953,47,176,91,17,68,159,24.86,232.53
NateSilver538,0.8418,male,liberal,2572,31,98,60,26,7,67,38.39,98.92
krauthammer,0.8257,male,conservative,5778,71,148,97,26,21,118,48.97,222.23
brithume,0.7990,male,conservative,3150,40,150,105,13,29,134,23.51,242.31
jemelehill,0.7616,female,liberal,2402,32,133,75,13,45,120,20.02,184.77
Trevornoah,0.7593,male,liberal,2844,38,108,74,25,9,83,34.27,113.76
DavidCornDC,0.7458,male,liberal,2720,37,67,44,13,8,52,52.31,209.23
JoeNBC,0.7455,male,conservative,2278,31,86,42,15,27,69,33.01,151.87
kimguilfoyle,0.7261,female,conservative,3650,51,162,71,50,41,112,32.59,73.00
chrislhayes,0.6965,male,liberal,1167,17,39,20,7,7,27,43.22,166.71
davidfrum,0.6939,male,conservative,2599,38,102,66,20,13,79,32.90,129.95
AGLynch,0.6910,female,liberal,4359,64,188,66,43,71,137,31.82,101.37
DLoesch,0.6880,female,conservative,1831,27,98,50,8,35,85,21.54,228.88
jaketapper,0.6816,male,conservative,2217,33,139,65,28,44,109,20.34,79.18
SarahPalinUSA,0.6781,female,conservative,4879,73,269,122,46,92,214,22.80,106.07
ggreenwald,0.6633,male,liberal,1046,16,75,55,9,11,66,15.85,116.22
megynkelly,0.6585,female,neutral,2661,41,136,49,35,50,99,26.88,76.03
GStephanopoulos,0.6473,male,liberal,4530,71,160,89,26,39,128,35.39,174.23
BretBaier,0.6087,male,conservative,900,15,33,20,7,5,25,36.00,128.57
greggutfeld,0.6081,male,conservative,2637,44,134,72,22,32,104,25.36,119.86
DianeSawyer,0.5975,female,liberal,2650,45,59,34,13,11,45,58.89,203.85
KatyTurNBC,0.5735,female,unknown,1187,21,36,19,10,7,26,45.65,118.70
Judgenap,0.5717,male,conservative,3719,66,106,64,19,23,87,42.75,195.74
kathygriffin,0.5666,female,liberal,2848,51,208,80,12,94,174,16.37,237.33
paulkrugman,0.5549,male,liberal,2133,39,68,32,6,28,60,35.55,355.50
Lesdoggg,0.5319,female,liberal,2569,49,89,42,23,18,60,42.82,111.70
marthamaccallum,0.5312,female,unknown,3194,61,165,66,16,79,145,22.03,199.63
DanaPerino,0.5296,female,conservative,1566,30,83,45,8,30,75,20.88,195.75
iowahawkblog,0.5276,male,conservative,728,14,25,16,3,2,18,40.44,242.67
HardballChris,0.4950,male,liberal,683,14,25,11,7,5,16,42.69,97.57
CharlesMBlow,0.4870,male,liberal,1440,30,51,32,13,6,38,37.89,110.77
EWErickson,0.4838,male,conservative,763,16,43,19,10,14,33,23.12,76.30
Lawrence,0.4814,male,liberal,854,18,34,16,9,7,23,37.13,94.89
michellemalkin,0.4799,female,conservative,1750,37,78,42,16,18,60,29.17,109.38
KirstenPowers,0.4713,female,liberal,1858,40,68,36,11,21,57,32.60,168.91
mitchellreports,0.4545,female,liberal,1344,30,74,43,12,17,60,22.40,112.00
juliaioffe,0.4453,female,liberal,1624,37,66,44,6,15,59,27.53,270.67
secupp,0.4355,female,conservative,2318,54,91,52,4,34,86,26.95,579.50
TeamCavuto,0.4281,male,conservative,1899,45,59,30,9,17,47,40.40,211.00
tomfriedman,0.4200,male,liberal,2898,70,86,39,14,33,72,40.25,207.00
JonahNRO,0.4118,male,conservative,1177,29,34,27,1,5,32,36.78,1177.00
AsiaArgento,0.4114,female,liberal,446,11,49,39,4,5,44,10.14,111.50
HARRISFAULKNER,0.4018,female,conservative,594,15,32,14,11,7,21,28.29,54.00
mtaibbi,0.3660,male,liberal,2309,64,89,44,8,33,77,29.99,288.63
AriMelber,0.3630,male,liberal,1145,32,35,20,8,5,25,45.80,143.13
mattyglesias,0.3620,male,liberal,1320,37,42,27,11,3,30,44.00,120.00
maureendowd,0.3594,female,liberal,1771,50,54,32,2,16,48,36.90,885.50
GeorgeWill,0.3532,male,conservative,2541,73,71,43,10,12,55,46.20,254.10
ChrisCuomo,0.3464,male,liberal,1434,42,65,28,18,18,46,31.17,79.67
mkhammer,0.3381,female,conservative,1233,37,38,20,8,9,29,42.52,154.13
aparnapkin,0.3299,female,unknown,878,27,49,35,11,3,38,23.11,79.82
costareports,0.3225,male,neutral,763,24,27,15,2,9,24,31.79,381.50
anamariecox,0.3176,female,liberal,407,13,7,6,1,0,6,67.83,407.00
donnabrazile,0.3175,female,liberal,1158,37,112,61,10,40,101,11.47,115.80
MonicaCrowley,0.3118,female,conservative,1168,38,42,23,2,13,36,32.44,584.00
glennbeck,0.3087,male,conservative,2221,73,104,53,9,35,88,25.24,246.78
daveweigel,0.3015,male,unknown,743,25,38,29,4,5,34,21.85,185.75
iamsambee,0.3015,female,liberal,208,7,12,3,3,5,8,26.00,69.33
PamelaGeller,0.2912,female,conservative,1894,66,187,66,8,110,176,10.76,236.75
FareedZakaria,0.2864,male,neutral,1863,66,76,24,25,27,51,36.53,74.52
RichLowry,0.2824,male,conservative,334,12,11,4,1,6,10,33.40,334.00
NickKristof,0.2702,male,liberal,719,27,62,22,5,29,51,14.10,143.80
britmarling,0.2695,female,liberal,983,37,49,28,15,1,29,33.90,65.53
ShepNewsTeam,0.2561,male,liberal,1641,65,78,22,17,37,59,27.81,96.53
AnnCurry,0.2291,female,liberal,1332,59,17,8,9,0,8,166.50,148.00
BillHemmer,0.2159,male,conservative,766,36,71,14,2,54,68,11.26,383.00
ConnieSchultz,0.2128,female,liberal,965,46,14,9,3,1,10,96.50,321.67
Peggynoonannyc,0.2080,female,conservative,369,18,21,8,8,5,13,28.38,46.13
MEPFuller,0.2048,male,liberal,545,27,12,10,2,0,10,54.50,272.50
greta,0.1920,female,conservative,1022,54,56,39,8,7,46,22.22,127.75
tanehisicoates,0.1810,male,liberal,1035,58,43,30,4,9,39,26.54,258.75
CapehartJ,0.1792,male,liberal,795,45,25,10,15,0,10,79.50,53.00
camanpour,0.1735,female,liberal,821,48,37,24,7,5,29,28.31,117.29
kilmeade,0.1647,male,conservative,974,60,41,22,12,7,29,33.59,81.17
andylevy,0.1636,male,conservative,129,8,3,3,0,0,3,43.00,0.00
edhenry,0.1598,male,conservative,693,44,29,17,7,3,20,34.65,99.00
sullydish,0.1576,male,conservative,699,45,23,8,3,7,15,46.60,233.00
jdickerson,0.1490,male,liberal,602,41,14,11,2,0,11,54.73,301.00
LarrySabato,0.1477,male,unknown,728,50,17,10,3,4,14,52.00,242.67
AshleyJudd,0.1408,female,liberal,583,42,48,10,4,33,43,13.56,145.75
MajorCBS,0.1246,male,unknown,516,42,26,20,4,2,22,23.45,129.00
michaelsmith,0.1136,male,liberal,224,20,9,3,2,4,7,32.00,112.00
lydiacachosi,0.1077,female,unknown,276,26,9,9,0,0,9,30.67,0.00
nycjim,0.1015,male,liberal,320,32,12,9,0,3,12,26.67,0.00
katiecouric,0.1015,female,liberal,490,49,17,12,4,0,12,40.83,122.50
TheRevAl,0.0923,male,liberal,473,52,26,8,2,16,24,19.71,236.50
markos,0.0888,male,liberal,70,8,1,0,0,1,1,70.00,0.00
GloriaSteinem,0.0786,female,liberal,465,60,33,13,5,13,26,17.88,93.00
AnneBayefsky,0.0710,female,unknown,518,74,27,14,3,10,24,21.58,172.67
FredBarnes,0.0707,male,conservative,523,75,12,11,0,1,12,43.58,0.00
ClaireAForlani,0.0587,female,liberal,133,23,6,4,1,1,5,26.60,133.00
davidfolkenflik,0.0585,male,unknown,75,13,2,1,0,0,1,75.00,0.00
KatrinaNation,0.0544,female,liberal,75,14,0,0,0,0,0,0.00,0.00
amberinzaman,0.0411,female,unknown,81,20,14,8,3,3,11,7.36,27.00
ariannahuff,0.0272,female,liberal,169,63,6,2,2,2,4,42.25,84.50
MHarrisPerry,0.0217,female,liberal,94,44,4,1,1,2,3,31.33,94.00
AHMalcolm,0.0204,male,conservative,131,65,5,2,3,0,2,65.50,43.67
ehasselbeck,0.0182,female,conservative,124,69,0,0,0,0,0,0.00,0.00
tavissmiley,0.0091,male,liberal,55,61,2,2,0,0,2,27.50,0.00
billkeller2014,0.0066,male,unknown,45,69,1,1,0,0,1,45.00,0.00
